team,season,wins,losses,_id
Toledo,2018,7,6,67127c950f4ebd8209416fb0
Toledo,2019,6,6,67127c950f4ebd8209416fb1
Toledo,2020,4,2,67127c950f4ebd8209416fb2
Toledo,2021,7,6,67127c950f4ebd8209416fb3
Toledo,2022,9,5,67127c950f4ebd8209416fb4
Toledo,2023,11,3,67127c950f4ebd8209416fb5
Toledo,2024,0,0,67127c950f4ebd8209416fb6
San José State,2016,4,8,67127c950f4ebd8209416fb7
San José State,2017,2,11,67127c950f4ebd8209416fb8
San José State,2018,1,11,67127c950f4ebd8209416fb9
San José State,2019,5,7,67127c950f4ebd8209416fba
San José State,2020,7,1,67127c950f4ebd8209416fbb
San José State,2021,5,7,67127c950f4ebd8209416fbc
San José State,2022,7,5,67127c950f4ebd8209416fbd
San José State,2023,7,6,67127c950f4ebd8209416fbe
San José State,2024,0,0,67127c950f4ebd8209416fbf
Northern Illinois,2016,5,7,67127c950f4ebd8209416fc0
Northern Illinois,2017,8,5,67127c950f4ebd8209416fc1
Northern Illinois,2018,8,6,67127c950f4ebd8209416fc2
Northern Illinois,2019,5,7,67127c950f4ebd8209416fc3
Northern Illinois,2020,0,6,67127c950f4ebd8209416fc4
Northern Illinois,2021,9,5,67127c950f4ebd8209416fc5
Northern Illinois,2022,3,9,67127c950f4ebd8209416fc6
Northern Illinois,2023,7,6,67127c950f4ebd8209416fc7
Northern Illinois,2024,0,0,67127c950f4ebd8209416fc8
Wisconsin,2016,11,3,67127c950f4ebd8209416fc9
Wisconsin,2017,13,1,67127c950f4ebd8209416fca
Wisconsin,2018,8,5,67127c950f4ebd8209416fcb
Wisconsin,2019,10,4,67127c950f4ebd8209416fcc
Wisconsin,2020,4,3,67127c950f4ebd8209416fcd
Wisconsin,2021,9,4,67127c950f4ebd8209416fce
Wisconsin,2022,7,6,67127c950f4ebd8209416fcf
Wisconsin,2023,7,6,67127c950f4ebd8209416fd0
Wisconsin,2024,0,0,67127c950f4ebd8209416fd1
Minnesota,2016,9,4,67127c950f4ebd8209416fd2
Minnesota,2017,5,7,67127c950f4ebd8209416fd3
Minnesota,2018,7,6,67127c950f4ebd8209416fd4
Minnesota,2019,11,2,67127c950f4ebd8209416fd5
Minnesota,2020,3,4,67127c950f4ebd8209416fd6
Minnesota,2021,9,4,67127c950f4ebd8209416fd7
Minnesota,2022,9,4,67127c950f4ebd8209416fd8
Minnesota,2023,6,7,67127c950f4ebd8209416fd9
Minnesota,2024,0,0,67127c950f4ebd8209416fda
Wake Forest,2016,7,6,67127c950f4ebd8209416fdb
Wake Forest,2017,8,5,67127c950f4ebd8209416fdc
Wake Forest,2018,7,6,67127c950f4ebd8209416fdd
Wake Forest,2019,8,5,67127c950f4ebd8209416fde
Wake Forest,2020,4,5,67127c950f4ebd8209416fdf
Wake Forest,2021,11,3,67127c950f4ebd8209416fe0
Wake Forest,2022,8,5,67127c950f4ebd8209416fe1
Wake Forest,2023,4,8,67127c950f4ebd8209416fe2
Wake Forest,2024,0,0,67127c950f4ebd8209416fe3
Eastern Michigan,2016,7,6,67127c950f4ebd8209416fe4
Eastern Michigan,2017,5,7,67127c950f4ebd8209416fe5
Eastern Michigan,2018,7,6,67127c950f4ebd8209416fe6
Eastern Michigan,2019,6,7,67127c950f4ebd8209416fe7
Eastern Michigan,2020,2,4,67127c950f4ebd8209416fe8
Eastern Michigan,2021,7,6,67127c950f4ebd8209416fe9
Eastern Michigan,2022,9,4,67127c950f4ebd8209416fea
Eastern Michigan,2023,6,7,67127c950f4ebd8209416feb
Eastern Michigan,2024,0,0,67127c950f4ebd8209416fec
