player_height,player_weight,player_class,usage_overall,stats_passing_pct,win_rate,is_power_5,class_risk_factor,win_rate_class_risk_factor,is_not_same_coach_next_season,yoy_win_rate,yoy_stats_passing_pct,yoy_usage_overall,team_coach_encoded,team_name_encoded,team_conference_ACC,team_conference_American Athletic,team_conference_Big 12,team_conference_Big Ten,team_conference_Conference USA,team_conference_FBS Independents,team_conference_Mid-American,team_conference_Mountain West,team_conference_Pac-12,team_conference_SEC,team_conference_Sun Belt
72.0,203.0,4.0,0.6169,0.532,0.6923076923076923,1.0,0.1307,0.0904846153846153,0.0,-0.1538461538461538,-0.133,-0.054,94.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73.0,205.0,4.0,0.68,0.569,0.25,1.0,0.1307,0.032675,1.0,-999.0,-999.0,-999.0,57.0,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73.0,205.0,4.0,0.2183,0.65,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,0.2884615384615384,0.081,-0.4617,101.0,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73.0,205.0,4.0,0.6117,0.66,0.4615384615384615,1.0,0.1307,0.0603230769230769,0.0,-0.0769230769230768,0.01,0.3934,101.0,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76.0,218.0,4.0,0.4785,0.579,0.6153846153846154,0.0,0.1307,0.0804307692307692,0.0,-999.0,-999.0,-999.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,218.0,4.0,0.6751,0.626,0.5833333333333334,0.0,0.1307,0.0762416666666666,0.0,-0.032051282051282,0.047,0.1966,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76.0,218.0,4.0,0.5131,0.659,0.6153846153846154,0.0,0.1307,0.0804307692307692,0.0,0.032051282051282,0.033,-0.162,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76.0,211.0,4.0,0.003,0.0,0.4615384615384615,1.0,0.1307,0.0603230769230769,0.0,-999.0,-999.0,-999.0,83.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76.0,211.0,4.0,0.0041,0.0,0.7857142857142857,1.0,0.1307,0.1026928571428571,0.0,0.3241758241758241,0.0,0.0011,83.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,211.0,4.0,0.1128,0.556,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,-0.2472527472527472,0.556,0.1086999999999999,83.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,210.0,4.0,0.5446,0.608,0.1666666666666666,0.0,0.1307,0.0217833333333333,0.0,-999.0,-999.0,-999.0,164.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,210.0,4.0,0.5034,0.632,0.3333333333333333,0.0,0.1307,0.0435666666666666,0.0,0.1666666666666666,0.024,-0.0412,164.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,210.0,4.0,0.2439,0.644,0.3333333333333333,0.0,0.1307,0.0435666666666666,1.0,0.0,0.012,-0.2594999999999999,164.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,239.0,4.0,0.2245,0.566,0.7692307692307693,1.0,0.1307,0.1005384615384615,0.0,-999.0,-999.0,-999.0,66.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,239.0,4.0,0.1991,0.542,0.6428571428571429,1.0,0.1307,0.0840214285714285,0.0,-0.1263736263736263,-0.0239999999999999,-0.0254,66.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77.0,239.0,4.0,0.0816,0.451,0.4166666666666667,1.0,0.1307,0.0544583333333333,0.0,-0.2261904761904762,-0.091,-0.1175,107.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74.0,211.0,4.0,-999.0,0.0,0.3333333333333333,0.0,0.1307,0.0435666666666666,0.0,-999.0,-999.0,-999.0,16.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,211.0,4.0,0.049,0.433,0.0833333333333333,0.0,0.1307,0.0108916666666666,0.0,-0.25,0.433,999.049,16.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,215.0,4.0,-999.0,0.0,0.4166666666666667,0.0,0.1307,0.0544583333333333,0.0,-999.0,-999.0,-999.0,34.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,215.0,4.0,0.0264,0.25,0.5384615384615384,0.0,0.1307,0.070376923076923,1.0,0.1217948717948717,0.25,999.0264,34.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,215.0,4.0,0.1213,0.492,0.25,0.0,0.1307,0.032675,0.0,-0.2884615384615384,0.242,0.0949,80.0,119.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,201.0,4.0,-999.0,0.0,0.4615384615384615,1.0,0.1307,0.0603230769230769,0.0,-999.0,-999.0,-999.0,69.0,122.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
